Study	Sample	Normal_or_Tumor	Coverage	Notes
Liu et al.	EC1000_T	Tumor	exome	N/A
Liu et al.	EC1001_T	Tumor	exome	N/A
Liu et al.	EC1016_T	Tumor	exome	N/A
Liu et al.	EC1020_T	Tumor	exome	N/A
Liu et al.	EC1021_T	Tumor	exome	N/A
Liu et al.	EC1029_T	Tumor	exome	N/A
Liu et al.	EC1071_T	Tumor	exome	N/A
Liu et al.	EC1110_T	Tumor	exome	N/A
Liu et al.	EC1111_T	Tumor	exome	N/A
Liu et al.	EC1113_T	Tumor	exome	N/A
Liu et al.	EC1117_T	Tumor	exome	N/A
Liu et al.	EC1119_T	Tumor	exome	N/A
Liu et al.	EC1120_T	Tumor	exome	N/A
Liu et al.	EC1125_T	Tumor	exome	N/A
Liu et al.	EC1126_T	Tumor	exome	N/A
Liu et al.	EC1134_T	Tumor	exome	N/A
Liu et al.	EC1155_T	Tumor	exome	N/A
Liu et al.	EC1158_T	Tumor	exome	N/A
Liu et al.	EC949_T	Tumor	exome	N/A
Liu et al.	EC952_T	Tumor	exome	N/A
Liu et al.	EC959_T	Tumor	exome	N/A
Liu et al.	EC961_T	Tumor	exome	N/A
Liu et al.	EC966_T	Tumor	exome	N/A
Liu et al.	EC988_T	Tumor	exome	N/A
Liu et al.	EC990_T	Tumor	exome	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D1	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D10	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D11	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D12	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D13	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D14	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D15	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D16	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D17	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D18	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D19	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D2	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D20	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D21	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D3	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D4	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D5	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D7	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D8	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-D9	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F1	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F10	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F100	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F101	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F102	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F103	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F104	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F105	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F106	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F107	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F108	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F109	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F11	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F110	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F111	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F113	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F114	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F115	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F116	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F117	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F118	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F119	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F12	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F120	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F13	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F14	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F15	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F16	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F17	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F18	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F19	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F2	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F20	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F21	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F22	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F23	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F24	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F25	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F26	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F27	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F28	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F29	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F3	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F30	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F31	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F32	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F33	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F34	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F35	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F36	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F37	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F38	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F39	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F4	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F40	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F41	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F42	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F43	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F44	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F45	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F46	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F47	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F48	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F49	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F5	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F50	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F51	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F52	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F53	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F54	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F55	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F56	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F57	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F58	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F59	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F6	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F60	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F61	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F62	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F63	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F64	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F66	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F67	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F68	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F69	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F7	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F70	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F71	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F72	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F73	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F74	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F75	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F76	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F77	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F78	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F79	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F8	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F80	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F81	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F82	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F83	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F84	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F85	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F86	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F87	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F89	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F9	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F90	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F91	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F92	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F93	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F94	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F95	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F96	Tumor	targeted	N/A
Lin et al. (UCLA, cBioPortal)	ESCC-F97	Tumor	targeted	N/A
