gene1	event_type	cohort	range_id	event_type.1	range_id.1	chr	start	end	si	loglik	num_samples	base_loglik	delta_ll	lrt	p_lrt	neglog10p	chr_file	is_selected	first_round
SOX2	increase	TP53_MUT	chr3.821	increase	chr3.821	3	181711925	181714436	3.559	-2186.12812602139	0	-2208.44979409159	22.32	44.6433361403915	2.364e-11	10.63	3	FALSE	
PIK3CA	increase	TP53_MUT	chr3.808	increase	chr3.808	3	179148357	179240093	3.423	-2187.75372585419	0	-2208.44979409159	20.7	41.3921364747921	1.246e-10	9.905	3	FALSE	
FGF4	increase	TP53_MUT	chr11.748	increase	chr11.748	11	69771022	69775341	3.38	-1816.19168726794	0	-1834.49456035955	18.3	36.6057461832352	1.446e-09	8.84	11	FALSE	
BCHE	increase	TP53_MUT	chr3.772	increase	chr3.772	3	165772904	165837423	3.249	-2190.16434385404	0	-2208.44979409159	18.29	36.5709004751043	1.472e-09	8.832	3	FALSE	
MYC	increase	TP53_MUT	chr8.536	increase	chr8.536	8	127736231	127742951	3.249	-1688.09415107205	0	-1706.37538989	18.28	36.5624776358854	1.479e-09	8.83	8	TRUE	2
CCND1	increase	TP53_MUT	chr11.745	increase	chr11.745	11	69641156	69654474	3.284	-1817.39519565864	0	-1834.49456035955	17.1	34.1987294018313	4.976e-09	8.303	11	TRUE	2
SDHA	increase	TP53_MUT	chr5.4	increase	chr5.4	5	218320	257082	2.984	-1353.64105690676	0	-1368.47785175501	14.84	29.6735896965047	5.113e-08	7.291	5	FALSE	
FAM135B	increase	TP53_MUT	chr8.553	increase	chr8.553	8	138130023	138497261	2.743	-1694.5309196422	0	-1706.37538989	11.84	23.6889404955905	1.132e-06	5.946	8	FALSE	
BCHE	increase	TP53_WT	chr3.772	increase	chr3.772	3	165772904	165837423	3.277	-775.802485775577	0	-785.529657949222	9.727	19.4543443472901	1.03e-05	4.987	3	FALSE	
PIK3CA	increase	TP53_WT	chr3.808	increase	chr3.808	3	179148357	179240093	3.255	-776.377022811868	0	-785.529657949222	9.153	18.3052702747073	1.882e-05	4.725	3	FALSE	
FGFR3	increase	TP53_WT	chr4.28	increase	chr4.28	4	1793293	1808867	1e-06	-670.76732979401	0	-677.408448117194	6.641	13.2822366463672	0.0002679	3.572	4	FALSE	
SOX2	increase	TP53_WT	chr3.821	increase	chr3.821	3	181711925	181714436	2.82	-778.941902653267	0	-785.529657949222	6.588	13.1755105919092	0.0002836	3.547	3	FALSE	
FOXA1	increase	TP53_WT	chr14.158	increase	chr14.158	14	37589552	37595249	0.1459	-220.069771228885	0	-223.990152149621	3.92	7.84076184147131	0.005108	2.292	14	TRUE	1
