gene1	event_type	cohort	range_id	event_type.1	range_id.1	chr	start	end	si	loglik	num_samples	base_loglik	delta_ll	lrt	p_lrt	neglog10p	chr_file	is_selected	first_round
SOX2	increase	NFE2L2_WT	chr3.821	increase	chr3.821	3	181711925	181714436	3.163	-2462.18119631807	0	-2483.0311298875	20.85	41.6998671388465	1.064e-10	9.973	3	FALSE	
PIK3CA	increase	NFE2L2_WT	chr3.808	increase	chr3.808	3	179148357	179240093	3.139	-2462.40508585314	0	-2483.0311298875	20.63	41.2520880687098	1.338e-10	9.874	3	FALSE	
BCHE	increase	NFE2L2_WT	chr3.772	increase	chr3.772	3	165772904	165837423	3.011	-2464.08516974321	0	-2483.0311298875	18.95	37.8919202885709	7.477e-10	9.126	3	FALSE	
FGF4	increase	NFE2L2_WT	chr11.748	increase	chr11.748	11	69771022	69775341	3.035	-2005.57050006375	0	-2023.00206338319	17.43	34.8631266388775	3.537e-09	8.451	11	TRUE	2
MYC	increase	NFE2L2_WT	chr8.536	increase	chr8.536	8	127736231	127742951	2.858	-1938.07438582565	0	-1954.72600805186	16.65	33.3032444524092	7.885e-09	8.103	8	TRUE	2
CCND1	increase	NFE2L2_WT	chr11.745	increase	chr11.745	11	69641156	69654474	2.958	-2006.66777891417	0	-2023.00206338319	16.33	32.6685689380333	1.093e-08	7.961	11	FALSE	
FAM135B	increase	NFE2L2_WT	chr8.553	increase	chr8.553	8	138130023	138497261	2.531	-1942.84806349732	0	-1954.72600805186	11.88	23.7558891090866	1.094e-06	5.961	8	FALSE	
SDHA	increase	NFE2L2_WT	chr5.4	increase	chr5.4	5	218320	257082	2.358	-1459.05081290974	0	-1468.83614189418	9.785	19.5706579688672	9.695e-06	5.013	5	FALSE	
BCHE	increase	NFE2L2_MUT	chr3.772	increase	chr3.772	3	165772904	165837423	4.373	-501.213456650881	0	-510.874961609252	9.662	19.3230099167411	1.104e-05	4.957	3	FALSE	
PIK3CA	increase	NFE2L2_MUT	chr3.808	increase	chr3.808	3	179148357	179240093	4.373	-501.213456650881	0	-510.874961609252	9.662	19.3230099167411	1.104e-05	4.957	3	FALSE	
SOX2	increase	NFE2L2_MUT	chr3.821	increase	chr3.821	3	181711925	181714436	3.886	-503.013649465805	0	-510.874961609252	7.861	15.7226242868932	7.334e-05	4.135	3	FALSE	
FGFR3	increase	NFE2L2_WT	chr4.28	increase	chr4.28	4	1793293	1808867	0.2915	-1790.43427638226	0	-1795.20748994796	4.773	9.54642713138992	0.002003	2.698	4	FALSE	
FZD6	increase	NFE2L2_WT	chr8.467	increase	chr8.467	8	103298898	103332866	1.828	-1950.39345290579	0	-1954.72600805186	4.333	8.66511029213234	0.003244	2.489	8	FALSE	
FGFR3	increase	NFE2L2_MUT	chr4.28	increase	chr4.28	4	1793293	1808867	1e-06	-310.304217865845	0	-314.094003564364	3.79	7.57957139703751	0.005903	2.229	4	TRUE	1
EGFR	increase	NFE2L2_WT	chr7.244	increase	chr7.244	7	55019017	55211628	1.72	-1984.55622933764	0	-1987.87931826149	3.323	6.6461778476978	0.009937	2.003	7	FALSE	
MYC	increase	NFE2L2_MUT	chr8.536	increase	chr8.536	8	127736231	127742951	2.583	-401.085365824928	0	-404.072230907904	2.987	5.97373016595191	0.01452	1.838	8	FALSE	
SDHA	increase	NFE2L2_MUT	chr5.4	increase	chr5.4	5	218320	257082	2.526	-257.040229964275	0	-259.909284500353	2.869	5.73810907215591	0.0166	1.78	5	TRUE	3
GBE1	decrease	NFE2L2_WT	chr3.417	decrease	chr3.417	3	81489703	81761645	1.353	-2480.37880331571	0	-2483.0311298875	2.652	5.3046531435748	0.02127	1.672	3	FALSE	
FAM135B	increase	NFE2L2_MUT	chr8.553	increase	chr8.553	8	138130023	138497261	2.29	-401.975253480395	0	-404.072230907904	2.097	4.19395485501821	0.04057	1.392	8	FALSE	
