range_id	event_type	event_id	si	chr	start	end	gene1.x	gene1_anno	gene1.y	requested_event_type	cohort	chromosome	full_loglik	neutral_loglik	full_model_p
chr3.772	increase	chr3.772.increase	2.20753001398499	3	165772904	165837423	BCHE	noncancer	BCHE	increase	TP53_WT	chr3	-774.823378315026	-785.529657949222	8.64206418965038e-05
chr3.808	increase	chr3.808.increase	2.31298610183493	3	179148357	179240093	PIK3CA	oncogene	PIK3CA	increase	TP53_WT	chr3	-774.823378315026	-785.529657949222	8.64206418965038e-05
chr3.821	increase	chr3.821.increase	0.696203342187257	3	181711925	181714436	SOX2	oncogene	SOX2	increase	TP53_WT	chr3	-774.823378315026	-785.529657949222	8.64206418965038e-05
chr8.536	increase	chr8.536.increase	1.38515625683255	8	127736231	127742951	MYC	oncogene	MYC	increase	TP53_WT	chr8	-650.257499325917	-652.910303662813	0.0704533608087461
chr8.553	increase	chr8.553.increase	1.49452403035403	8	138130023	138497261	FAM135B	other	FAM135B	increase	TP53_WT	chr8	-650.257499325917	-652.910303662813	0.0704533608087461
chr11.745	increase	chr11.745.increase	1.30535812557884	11	69641156	69654474	CCND1	oncogene	CCND1	increase	TP53_WT	chr11	-506.416402330003	-507.593321018772	0.30822702025457
chr11.748	increase	chr11.748.increase	1.30535812557884	11	69771022	69775341	FGF4	noncancer	FGF4	increase	TP53_WT	chr11	-506.416402330003	-507.593321018772	0.30822702025457
chr3.772	increase	chr3.772.increase	1.55631022515263	3	165772904	165837423	BCHE	noncancer	BCHE	increase	TP53_MUT	chr3	-2184.16684902341	-2208.44979409159	1.61375625064732e-10
chr3.808	increase	chr3.808.increase	1.28115864465814	3	179148357	179240093	PIK3CA	oncogene	PIK3CA	increase	TP53_MUT	chr3	-2184.16684902341	-2208.44979409159	1.61375625064732e-10
chr3.821	increase	chr3.821.increase	2.09141007437838	3	181711925	181714436	SOX2	oncogene	SOX2	increase	TP53_MUT	chr3	-2184.16684902341	-2208.44979409159	1.61375625064732e-10
chr8.536	increase	chr8.536.increase	2.73648239550231	8	127736231	127742951	MYC	oncogene	MYC	increase	TP53_MUT	chr8	-1687.68375793844	-1706.37538989	7.62653707199386e-09
chr8.553	increase	chr8.553.increase	1.28787250377579	8	138130023	138497261	FAM135B	other	FAM135B	increase	TP53_MUT	chr8	-1687.68375793844	-1706.37538989	7.62653707199386e-09
chr11.745	increase	chr11.745.increase	0.915367300792172	11	69641156	69654474	CCND1	oncogene	CCND1	increase	TP53_MUT	chr11	-1816.18552705455	-1834.49456035955	1.11811858608769e-08
chr11.748	increase	chr11.748.increase	3.68068008267727	11	69771022	69775341	FGF4	noncancer	FGF4	increase	TP53_MUT	chr11	-1816.18552705455	-1834.49456035955	1.11811858608769e-08
chr3.772	increase	chr3.772.increase	1.54227128228667	3	165772904	165837423	BCHE	noncancer	BCHE	increase	NFE2L2_WT	chr3	-2460.10604494608	-2483.0311298875	6.10313001677338e-10
chr3.808	increase	chr3.808.increase	1.40406061149735	3	179148357	179240093	PIK3CA	oncogene	PIK3CA	increase	NFE2L2_WT	chr3	-2460.10604494608	-2483.0311298875	6.10313001677338e-10
chr3.821	increase	chr3.821.increase	1.65676842836056	3	181711925	181714436	SOX2	oncogene	SOX2	increase	NFE2L2_WT	chr3	-2460.10604494608	-2483.0311298875	6.10313001677338e-10
chr8.536	increase	chr8.536.increase	2.58994842745581	8	127736231	127742951	MYC	oncogene	MYC	increase	NFE2L2_WT	chr8	-1937.99075729423	-1954.72600805186	5.39477011105793e-08
chr8.553	increase	chr8.553.increase	1.13466290381159	8	138130023	138497261	FAM135B	other	FAM135B	increase	NFE2L2_WT	chr8	-1937.99075729423	-1954.72600805186	5.39477011105793e-08
chr11.745	increase	chr11.745.increase	1.07055265388526	11	69641156	69654474	CCND1	oncogene	CCND1	increase	NFE2L2_WT	chr11	-2005.56550203029	-2023.00206338319	2.67545481730644e-08
chr11.748	increase	chr11.748.increase	2.84271245218374	11	69771022	69775341	FGF4	noncancer	FGF4	increase	NFE2L2_WT	chr11	-2005.56550203029	-2023.00206338319	2.67545481730644e-08
chr3.772	increase	chr3.772.increase	2.39253213912294	3	165772904	165837423	BCHE	noncancer	BCHE	increase	NFE2L2_MUT	chr3	-498.56837427664	-510.874961609252	1.86002107324139e-05
chr3.808	increase	chr3.808.increase	1.90120018654652	3	179148357	179240093	PIK3CA	oncogene	PIK3CA	increase	NFE2L2_MUT	chr3	-498.56837427664	-510.874961609252	1.86002107324139e-05
chr3.821	increase	chr3.821.increase	1.44792947691664	3	181711925	181714436	SOX2	oncogene	SOX2	increase	NFE2L2_MUT	chr3	-498.56837427664	-510.874961609252	1.86002107324139e-05
chr8.536	increase	chr8.536.increase	2.13354705870807	8	127736231	127742951	MYC	oncogene	MYC	increase	NFE2L2_MUT	chr8	-400.94639698823	-404.072230907904	0.0439003090231512
chr8.553	increase	chr8.553.increase	1.32927644282236	8	138130023	138497261	FAM135B	other	FAM135B	increase	NFE2L2_MUT	chr8	-400.94639698823	-404.072230907904	0.0439003090231512
chr11.745	increase	chr11.745.increase	1.32238225945934	11	69641156	69654474	CCND1	oncogene	CCND1	increase	NFE2L2_MUT	chr11	-318.921637003135	-319.699939046956	0.459185025804139
chr11.748	increase	chr11.748.increase	1.32238225945934	11	69771022	69775341	FGF4	noncancer	FGF4	increase	NFE2L2_MUT	chr11	-318.921637003135	-319.699939046956	0.459185025804139
